id;titre;contenu;contenu_content_type
1;deposit frictionless;../fake-data/blob/hipster.png;image/png
2;Customer-focused;../fake-data/blob/hipster.png;image/png
3;Metal;../fake-data/blob/hipster.png;image/png
4;Euro emulation Electronics;../fake-data/blob/hipster.png;image/png
5;Home Loan Account HTTP;../fake-data/blob/hipster.png;image/png
6;Wisconsin Outdoors;../fake-data/blob/hipster.png;image/png
7;Car Avon;../fake-data/blob/hipster.png;image/png
8;Programmable generating;../fake-data/blob/hipster.png;image/png
9;Streamlined;../fake-data/blob/hipster.png;image/png
10;migration South Carolina;../fake-data/blob/hipster.png;image/png
